id,codes
890,PPT
891,PQC
892,PRG
893,PRN
894,PSA
895,PSC
896,PSE
897,PSM
898,PSP
899,PTK
900,PTP
901,PTY
902,PUB
903,PUF
904,PUQ
905,PUS
906,PVD
907,PVG
908,PVR
909,PVU
910,PWK
911,PWM
912,PXO
913,PXU
914,PZO
915,QBS
916,QRO
917,RAI
918,RAK
919,RAO
920,RAR
921,RBA
922,RBD
923,RBO
924,RDD
925,RDU
926,REC
927,REP
928,RFD
929,RGI
930,RGN
931,RHO
932,RIC
933,RIV
934,RIW
935,RIX
936,RJL
937,RKV
938,RLG
939,RMI
940,RMS
941,RNO
942,RNS
943,RNT
944,ROA
945,ROB
946,ROC
947,ROR
948,ROS
949,ROV
950,ROW
951,RPR
952,RRG
953,RST
954,RSW
955,RTM
956,RUH
957,RUN
958,RVN
959,RYG
960,RYK
961,RZE
962,SAB
963,SAF
964,SAH
965,SAL
966,SAN
967,SAT
968,SAV
969,SAW
970,SBA
971,SBD
972,SBN
973,SBP
974,SCE
975,SCK
976,SCL
977,SCO
978,SCQ
979,SCT
980,SDF
981,SDQ
982,SDR
983,SDU
984,SEA
985,SEN
986,SEX
987,SFA
988,SFJ
989,SFN
990,SFO
991,SGC
992,SGF
993,SGN
994,SGU
995,SGY
996,SHA
997,SHD
998,SHE
999,SHV
1000,SID
1001,SIN
1002,SIP
1003,SIR
1004,SJC
1005,SJD
1006,SJJ
1007,SJK
1008,SJO
1009,SJU
1010,SJZ
1011,SKB
1012,SKG
1013,SKP
1014,SKT
1015,SKZ
1016,SLC
1017,SLE
1018,SLK
1019,SLM
1020,SLN
1021,SLU
1022,SLZ
1023,SMA
1024,SMF
1025,SMI
1026,SNA
1027,SNN
1028,SNR
1029,SOB
1030,SOC
1031,SOF
1032,SOQ
1033,SOU
1034,SOY
1035,SPC
1036,SPG
1037,SPN
1038,SPU
1039,SQL
1040,SRE
1041,SRG
1042,SRQ
1043,SSA
1044,SSF
1045,SSG
1046,SSH
1047,STI
1048,STL
1049,STM
1050,STN
1051,STP
1052,STR
1053,STS
1054,STT
1055,STX
1056,SUB
1057,SUN
1058,SUV
1059,SUX
1060,SVD
1061,SVG
1062,SVO
1063,SVQ
1064,SVX
1065,SWF
1066,SXB
1067,SXF
1068,SXL
1069,SXM
1070,SXR
1071,SYD
1072,SYR
1073,SYX
1074,SYZ
1075,SZB
1076,SZG
1077,SZX
1078,TAB
1079,TAK
1080,TAO
1081,TAS
1082,TBB
1083,TBP
1084,TBS
1085,TBZ
1086,TCQ
1087,TER
1088,TEX
1089,TFN
1090,TFS
1091,TGD
1092,TGI
1093,TGM
1094,TGU
1095,THE
1096,THR
1097,TIA
1098,TIF
1099,TIJ
1100,TIP
1101,TIV
1102,TJM
1103,TKK
1104,TLL
1105,TLS
1106,TLV
1107,TMC
1108,TMS
1109,TNA
1110,TNG
1111,TNM
1112,TNR
1113,TNT
1114,TOL
1115,TOS
1116,TPA
1117,TPE
1118,TPP
1119,TRD
1120,TRE
1121,TRF
1122,TRI
1123,TRN
1124,TRS
1125,TRU
1126,TRV
1127,TRW
1128,TSA
1129,TSN
1130,TSR
1131,TTN
1132,TUL
1133,TUN
1134,TUS
1135,TVC
1136,TXL
1137,TYL
1138,TYS
1139,TZL
1140,UFA
1141,UIH
1142,UIO
1143,UKK
1144,ULN
1145,UPG
1146,URA
1147,USH
1148,USM
1149,UTH
1150,UUD
1151,UUS
1152,UVF
1153,VAM
1154,VAR
1155,VAV
1156,VCA
1157,VCE
1158,VCL
1159,VCP
1160,VCS
1161,VCV
1162,VDE
1163,VDH
1164,VER
1165,VGO
1166,VGT
1167,VIE
1168,VII
1169,VIX
1170,VKG
1171,VKO
1172,VLC
1173,VLI
1174,VLL
1175,VLN
1176,VNO
1177,VNS
1178,VNY
1179,VOG
1180,VOZ
1181,VPS
1182,VRA
1183,VRN
1184,VTE
1185,VTZ
1186,VVI
1187,WAT
1188,WAW
1189,WDH
1190,WGP
1191,WLG
1192,WMI
1193,WRO
1194,WUH
1195,WUX
1196,XCH
1197,XFW
1198,XIY
1199,XMN
1200,XNA
1201,XNN
1202,XRY
1203,YAM
1204,YAP
1205,YAZ
1206,YCD
1207,YDT
1208,YEG
1209,YFB
1210,YGO
1211,YHK
1212,YHM
1213,YHZ
1214,YIP
1215,YJS
1216,YLT
1217,YLW
1218,YMM
1219,YMX
1220,YNB
1221,YNG
1222,YON
1223,YOO
1224,YOW
1225,YQB
1226,YQM
1227,YQR
1228,YQT
1229,YQX
1230,YQY
1231,YSB
1232,YSJ
1233,YTZ
1234,YUL
